,I,gq,groups,score
439,0.90404040404,0.396060606061,1,-135.76
440,0.90404040404,0.40595959596000003,1,-135.76
441,0.90404040404,0.415858585859,1,-135.76
442,0.90404040404,0.425757575758,1,-135.76
443,0.90404040404,0.435656565657,1,-135.76
444,0.90404040404,0.445555555556,1,-135.76
445,0.90404040404,0.455454545455,1,-135.76
446,0.90404040404,0.46535353535400004,1,-135.76
447,0.90404040404,0.47525252525300005,1,-135.76
448,0.90404040404,0.48515151515199995,2,-71.87
449,0.90404040404,0.49505050505099996,2,-71.87
450,0.90404040404,0.504949494949,2,-71.87
451,0.90404040404,0.514848484848,2,-71.87
452,0.90404040404,0.5445454545449999,4,-33.95
453,0.90404040404,0.524747474747,2,-71.87
454,0.90404040404,0.554444444444,5,-27.48
455,0.90404040404,0.534646464646,3,-44.88
456,0.90404040404,0.5643434343429999,7,-17.13
457,0.90404040404,0.574242424242,7,-17.13
458,0.90404040404,0.584141414141,8,-14.2
459,0.90404040404,0.59404040404,9,-9.3
460,0.90404040404,0.613838383838,11,-3.53
461,0.90404040404,0.623737373737,13,-4.59
462,0.90404040404,0.603939393939,9,-9.3
463,0.90404040404,0.643535353535,18,-9.98
464,0.90404040404,0.653434343434,18,-9.98
465,0.90404040404,0.663333333333,20,-13.64
466,0.90404040404,0.673232323232,23,-19.13
467,0.90404040404,0.633636363636,15,-7.33
468,0.90404040404,0.683131313131,24,-21.11
469,0.90404040404,0.69303030303,24,-21.11
470,0.90404040404,0.702929292929,27,-27.35
471,0.90404040404,0.712828282828,32,-38.18
472,0.90404040404,0.722727272727,33,-40.43
473,0.90404040404,0.742525252525,37,-48.23
474,0.90404040404,0.7326262626260001,37,-48.23
475,0.90404040404,0.7524242424240001,38,-49.3
476,0.90404040404,0.762323232323,39,-51.78
477,0.90404040404,0.7722222222220001,42,-59.08
478,0.90404040404,0.7821212121209999,47,-71.56
479,0.90404040404,0.7920202020199999,49,-76.61
480,0.90404040404,0.801919191919,50,-79.15
481,0.90404040404,0.8118181818179999,50,-79.15
482,0.90404040404,0.821717171717,51,-81.7
483,0.90404040404,0.8316161616159999,53,-86.84
484,0.90404040404,0.841515151515,58,-99.84
485,0.90404040404,0.851414141414,59,-102.47
486,0.90404040404,0.861313131313,59,-102.47
487,0.90404040404,0.881111111111,63,-113.18
488,0.90404040404,0.871212121212,61,-107.79
489,0.90404040404,0.8910101010100001,65,-118.53
490,0.90404040404,0.9009090909090001,65,-118.53
491,0.90404040404,0.910808080808,68,-126.82
492,0.90404040404,0.9207070707070001,73,-140.71
493,0.90404040404,0.9306060606059999,77,-151.99
494,0.90404040404,0.9405050505050001,84,-171.89
495,0.90404040404,0.950404040404,90,-189.2
496,0.90404040404,0.980101010101,116,-266.47
497,0.90404040404,0.960303030303,101,-221.39
498,1.10505050505,0.01,1,-135.76
499,0.90404040404,0.99,118,-272.57
500,0.90404040404,0.970202020202,109,-245.29
501,1.10505050505,0.029797979797999998,1,-135.76
502,1.10505050505,0.019898989899,1,-135.76
503,1.10505050505,0.039696969697,1,-135.76
504,1.10505050505,0.049595959595999994,1,-135.76
505,1.10505050505,0.06939393939389998,1,-135.76
506,1.10505050505,0.05949494949490001,1,-135.76
507,1.10505050505,0.0792929292929,1,-135.76
508,1.10505050505,0.09909090909089999,1,-135.76
509,1.10505050505,0.08919191919189999,1,-135.76
510,1.10505050505,0.10898989899,1,-135.76
511,1.10505050505,0.11888888888900001,1,-135.76
512,1.10505050505,0.128787878788,1,-135.76
513,1.10505050505,0.138686868687,1,-135.76
514,1.10505050505,0.14858585858599999,1,-135.76
515,1.10505050505,0.158484848485,1,-135.76
516,1.10505050505,0.16838383838399998,1,-135.76
517,1.10505050505,0.188181818182,1,-135.76
518,1.10505050505,0.198080808081,1,-135.76
519,1.10505050505,0.178282828283,1,-135.76
520,1.10505050505,0.217878787879,1,-135.76
521,1.10505050505,0.23767676767700002,1,-135.76
522,1.10505050505,0.20797979798,1,-135.76
523,1.10505050505,0.227777777778,1,-135.76
524,1.10505050505,0.24757575757599998,1,-135.76
525,1.10505050505,0.257474747475,1,-135.76
526,1.10505050505,0.277272727273,1,-135.76
527,1.10505050505,0.267373737374,1,-135.76
528,1.10505050505,0.287171717172,1,-135.76
529,1.10505050505,0.29707070707100003,1,-135.76
530,1.10505050505,0.30696969697,1,-135.76
531,1.10505050505,0.316868686869,1,-135.76
532,1.10505050505,0.326767676768,1,-135.76
533,1.10505050505,0.33666666666699996,1,-135.76
534,1.10505050505,0.34656565656599997,1,-135.76
535,1.10505050505,0.356464646465,1,-135.76
536,1.10505050505,0.366363636364,1,-135.76
537,1.10505050505,0.386161616162,1,-135.76
538,1.10505050505,0.376262626263,1,-135.76
539,1.10505050505,0.396060606061,1,-135.76
540,1.10505050505,0.40595959596000003,1,-135.76
541,1.10505050505,0.435656565657,1,-135.76
542,1.10505050505,0.455454545455,1,-135.76
543,1.10505050505,0.425757575758,1,-135.76
544,1.10505050505,0.445555555556,1,-135.76
545,1.10505050505,0.415858585859,1,-135.76
546,1.10505050505,0.46535353535400004,1,-135.76
547,1.10505050505,0.47525252525300005,1,-135.76
548,1.10505050505,0.49505050505099996,2,-71.87
549,1.10505050505,0.48515151515199995,2,-71.87
550,1.10505050505,0.524747474747,2,-71.87
551,1.10505050505,0.514848484848,2,-71.87
552,1.10505050505,0.504949494949,2,-71.87
553,1.10505050505,0.534646464646,3,-44.88
554,1.10505050505,0.5445454545449999,4,-33.95
555,1.10505050505,0.554444444444,5,-27.48
556,1.10505050505,0.5643434343429999,7,-17.13
557,1.10505050505,0.574242424242,7,-17.13
558,1.10505050505,0.584141414141,8,-14.2
559,1.10505050505,0.59404040404,9,-9.3
560,1.10505050505,0.603939393939,9,-9.3
561,1.10505050505,0.613838383838,11,-3.53
562,1.10505050505,0.623737373737,13,-4.59
563,1.10505050505,0.633636363636,15,-7.33
564,1.10505050505,0.653434343434,18,-9.98
565,1.10505050505,0.643535353535,18,-9.98
566,1.10505050505,0.663333333333,20,-13.64
567,1.10505050505,0.673232323232,23,-19.13
568,1.10505050505,0.683131313131,24,-21.11
569,1.10505050505,0.69303030303,24,-21.11
570,1.10505050505,0.702929292929,27,-27.35
571,1.10505050505,0.712828282828,32,-38.18
572,1.10505050505,0.722727272727,33,-40.43
573,1.10505050505,0.7326262626260001,37,-48.23
574,1.10505050505,0.7524242424240001,38,-49.3
575,1.10505050505,0.742525252525,37,-48.23
576,1.10505050505,0.762323232323,39,-51.78
577,1.10505050505,0.7722222222220001,42,-59.08
